Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
9,1939-07-19,311.0,Pau,Toulouse,Stage with mountain(s),Edward Vissers,BEL,1939,Edward_Vissers,Mountain stage,1912-07-04,Anvers
10a,1939-07-21,149.0,Toulouse,Narbonne,Plain stage,Pierre Jaminet,FRA,1939,Pierre_Jaminet,Flat stage,1912-02-02,16e arrondissement de Paris
10b,1939-07-21,27.0,Narbonne,Béziers,Individual time trial,Maurice Archambaud,FRA,1939,Maurice_Archambaud,Time trial,1908-08-30,14e arrondissement de Paris
10c,1939-07-21,70.0,Béziers,Montpellier,Plain stage,Maurice Archambaud,FRA,1939,Maurice_Archambaud,Flat stage,1908-08-30,14e arrondissement de Paris
11,1939-07-22,212.0,Montpellier,Marseille,Plain stage,Fabien Galateau,FRA,1939,Fabien_Galateau,Flat stage,1913-07-23,Nanteuil-la-Forêt
12a,1939-07-23,157.0,Marseille,Saint-Raphaël,Plain stage,François Neuens,LUX,1939,François_Neuens,Flat stage,1912-09-06,Gonderange
12b,1939-07-23,122.0,Saint-Raphaël,Monaco,Plain stage,Maurice Archambaud,FRA,1939,Maurice_Archambaud,Flat stage,1908-08-30,14e arrondissement de Paris
13,1939-07-24,101.0,Monaco,Monaco,Stage with mountain(s),Pierre Gallien,FRA,1939,Pierre_Gallien,Mountain stage,1911-10-19,Le Perreux-sur-Marne
14,1939-07-25,175.0,Monaco,Digne,Plain stage,Pierre Cloarec,FRA,1939,Pierre_Cloarec,Flat stage,1909-03-14,Pleyben
15,1939-07-26,219.0,Digne,Briançon,Stage with mountain(s),Sylvère Maes,BEL,1939,Sylvère_Maes,Mountain stage,1909-08-27,Gistel
16a,1939-07-27,126.0,Briançon,Briançon,Stage with mountain(s),Pierre Jaminet,FRA,1939,Pierre_Jaminet,Mountain stage,1912-02-02,16e arrondissement de Paris
16b,1939-07-27,64.0,Bonneval,Bourg-Saint-Maurice,Mountain time trial,Sylvère Maes,BEL,1939,Sylvère_Maes,Time trial,1909-08-27,Gistel
16c,1939-07-27,104.0,Bourg-Saint-Maurice,Annecy,Plain stage,Antoon van Schendel,NED,1939,Antoon_van_Schendel,Flat stage,1910-05-09,Lage Zwaluwe
17a,1939-07-29,226.0,Annecy,Dôle,Stage with mountain(s),François Neuens,LUX,1939,François_Neuens,Mountain stage,1912-09-06,Gonderange
17b,1939-07-29,59.0,Dôle,Dijon,Individual time trial,Maurice Archambaud,FRA,1939,Maurice_Archambaud,Time trial,1908-08-30,14e arrondissement de Paris
18a,1939-07-30,151.0,Dijon,Troyes,Plain stage,René Le Grevès,FRA,1939,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
18b,1939-07-30,201.0,Troyes,Paris,Plain stage,Marcel Kint,BEL,1939,Marcel_Kint,Flat stage,1914-09-20,Zwevegem
1,1938-07-05,215.0,Paris,Caen,Plain stage,Willi Oberbeck,GER,1938,Willi_Oberbeck,Flat stage,1910-02-21,Hagen
2,1938-07-06,237.0,Caen,Saint-Brieuc,Plain stage,Jean Majerus,LUX,1938,Jean_Majerus,Flat stage,1914-02-06,Bettembourg
3,1938-07-07,238.0,Saint-Brieuc,Nantes,Plain stage,Gerrit Schulte,NED,1938,Gerrit_Schulte,Flat stage,1916-01-07,Amsterdam
4a,1938-07-08,62.0,Nantes,La Roche-sur-Yon,Plain stage,Éloi Meulenberg,BEL,1938,Éloi_Meulenberg,Flat stage,1912-09-22,Charleroi
4b,1938-07-08,83.0,La Roche-sur-Yon,La Rochelle,Plain stage,Éloi Meulenberg,BEL,1938,Éloi_Meulenberg,Flat stage,1912-09-22,Charleroi
4c,1938-07-08,83.0,La Rochelle,Royan,Plain stage,Félicien Vervaecke,BEL,1938,Félicien_Vervaecke,Flat stage,1907-03-11,Moorslede
5,1938-07-10,198.0,Royan,Bordeaux,Plain stage,Éloi Meulenberg,BEL,1938,Éloi_Meulenberg,Flat stage,1912-09-22,Charleroi
6a,1938-07-11,53.0,Bordeaux,Arcachon,Plain stage,Jules Rossi,ITA,1938,Jules_Rossi,Flat stage,1914-11-03,Bardi
6b,1938-07-11,171.0,Arcachon,Bayonne,Plain stage,Glauco Servadei,ITA,1938,Glauco_Servadei,Flat stage,1913-07-27,Forlì
7,1938-07-12,115.0,Bayonne,Pau,Plain stage,Theo Middelkamp,NED,1938,Theo_Middelkamp,Flat stage,1914-02-23,Nieuw-Namen (Pays-Bas)
8,1938-07-14,193.0,Pau,Luchon,Stage with mountain(s),Félicien Vervaecke,BEL,1938,Félicien_Vervaecke,Mountain stage,1907-03-11,Moorslede
9,1938-07-16,260.0,Luchon,Perpignan,Stage with mountain(s),Jean Fréchaut,FRA,1938,Jean_Fréchaut,Mountain stage,1914-09-19,Béguey
10a,1938-07-17,63.0,Perpignan,Narbonne,Plain stage,Antoon van Schendel,NED,1938,Antoon_van_Schendel,Flat stage,1910-05-09,Lage Zwaluwe
10b,1938-07-17,27.0,Narbonne,Béziers,Individual time trial,Félicien Vervaecke,BEL,1938,Félicien_Vervaecke,Time trial,1907-03-11,Moorslede
10c,1938-07-17,73.0,Béziers,Montpellier,Plain stage,Antonin Magne,FRA,1938,Antonin_Magne,Flat stage,1904-02-15,Ytrac
11,1938-07-18,223.0,Montpellier,Marseille,Plain stage,Gino Bartali,ITA,1938,Gino_Bartali,Flat stage,1914-07-18,Ponte a Ema
12,1938-07-19,199.0,Marseille,Cannes,Plain stage,Jean Fréchaut,FRA,1938,Jean_Fréchaut,Flat stage,1914-09-19,Béguey
13,1938-07-21,284.0,Cannes,Digne,Stage with mountain(s),Dante Gianello,FRA,1938,Dante_Gianello,Mountain stage,1912-03-26,Chiesa in Valmalenco
14,1938-07-22,219.0,Digne,Briançon,Stage with mountain(s),Gino Bartali,ITA,1938,Gino_Bartali,Mountain stage,1914-07-18,Ponte a Ema
15,1938-07-23,311.0,Briançon,Aix-les-Bains,Stage with mountain(s),Marcel Kint,BEL,1938,Marcel_Kint,Mountain stage,1914-09-20,Zwevegem
16,1938-07-25,284.0,Aix-les-Bains,Besançon,Stage with mountain(s),Marcel Kint,BEL,1938,Marcel_Kint,Mountain stage,1914-09-20,Zwevegem
17a,1938-07-26,89.0,Besançon,Belfort,Plain stage,Émile Masson Jr.,BEL,1938,Émile_Masson_Jr.,Flat stage,,
17b,1938-07-26,143.0,Belfort,Strasbourg,Plain stage,Jean Fréchaut,FRA,1938,Jean_Fréchaut,Flat stage,1914-09-19,Béguey
18,1938-07-27,186.0,Strasbourg,Metz,Plain stage,Marcel Kint,BEL,1938,Marcel_Kint,Flat stage,1914-09-20,Zwevegem
19,1938-07-28,196.0,Metz,Reims,Plain stage,Fabien Galateau,FRA,1938,Fabien_Galateau,Flat stage,1913-07-23,Nanteuil-la-Forêt
20a,1938-07-30,48.0,Reims,Laon,Plain stage,Glauco Servadei,ITA,1938,Glauco_Servadei,Flat stage,1913-07-27,Forlì
20b,1938-07-30,42.0,Laon,Saint-Quentin,Individual time trial,Félicien Vervaecke,BEL,1938,Félicien_Vervaecke,Time trial,1907-03-11,Moorslede
20c,1938-07-30,107.0,Saint-Quentin,Lille,Plain stage,François Neuville,BEL,1938,François_Neuville,Flat stage,1912-11-24,Flémalle
21,1938-07-31,279.0,Lille,Paris,Plain stage,Antonin Magne André Leducq[n 2],"c(""FRA"", ""FRA"")",1938,Antonin_Magne André_Leducq[n_2],Flat stage,,
1,1937-06-30,263.0,Paris,Lille,Plain stage,Jean Majerus,LUX,1937,Jean_Majerus,Flat stage,1914-02-06,Bettembourg
2,1937-07-01,192.0,Lille,Charleville,Plain stage,Maurice Archambaud,FRA,1937,Maurice_Archambaud,Flat stage,1908-08-30,14e arrondissement de Paris
3,1937-07-02,161.0,Charleville,Metz,Plain stage,Walter Generati,ITA,1937,Walter_Generati,Flat stage,1913-09-08,Bomporto
4,1937-07-03,220.0,Metz,Belfort,Stage with mountain(s),Erich Bautz,GER,1937,Erich_Bautz,Mountain stage,1913-05-26,Dortmund
5a,1937-07-04,175.0,Belfort,Lons-le-Saunier,Plain stage,Henri Puppo,FRA,1937,Henri_Puppo,Flat stage,1913-02-05,Le Tignet
5b,1937-07-04,34.0,Lons-le-Saunier,Champagnole,Team time trial,Sylvère Maes,BEL,1937,Sylvère_Maes,Flat stage,1909-08-27,Gistel
5c,1937-07-04,93.0,Champagnole,Geneva,Plain stage,Leo Amberg,SUI,1937,Leo_Amberg,Flat stage,1912-03-23,Ballwil
6,1937-07-06,180.0,Geneva,Aix-les-Bains,Stage with mountain(s),Gustaaf Deloor,BEL,1937,Gustaaf_Deloor,Mountain stage,1913-06-24,La Clinge
7,1937-07-07,228.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Gino Bartali,ITA,1937,Gino_Bartali,Mountain stage,1914-07-18,Ponte a Ema
8,1937-07-08,194.0,Grenoble,Briançon,Stage with mountain(s),Otto Weckerling,GER,1937,Otto_Weckerling,Mountain stage,1910-10-23,Kehnert (en)
9,1937-07-09,220.0,Briançon,Digne,Stage with mountain(s),Roger Lapébie,FRA,1937,Roger_Lapébie,Mountain stage,1911-01-16,Bayonne
10,1937-07-11,251.0,Digne,Nice,Stage with mountain(s),Félicien Vervaecke,BEL,1937,Félicien_Vervaecke,Mountain stage,1907-03-11,Moorslede
11a,1937-07-13,169.0,Nice,Toulon,Plain stage,Eloi Meulenberg,BEL,1937,Eloi_Meulenberg,Flat stage,1912-09-22,Charleroi
11b,1937-07-13,65.0,Toulon,Marseille,Team time trial,Gustaaf Danneels,BEL,1937,Gustaaf_Danneels,Flat stage,,
12a,1937-07-14,112.0,Marseille,Nîmes,Plain stage,Alphonse Antoine,FRA,1937,Alphonse_Antoine,Flat stage,,
12b,1937-07-14,51.0,Nîmes,Montpellier,Plain stage,René Pedroli,SUI,1937,René_Pedroli,Flat stage,1914-07-19,Charleroi
13a,1937-07-15,103.0,Montpellier,Narbonne,Plain stage,Francesco Camusso,ITA,1937,Francesco_Camusso,Flat stage,1908-03-09,Cumiana
13b,1937-07-15,63.0,Narbonne,Perpignan,Plain stage,Eloi Meulenberg,BEL,1937,Eloi_Meulenberg,Flat stage,1912-09-22,Charleroi
14a,1937-07-17,99.0,Perpignan,Bourg-Madame,Plain stage,Eloi Meulenberg,BEL,1937,Eloi_Meulenberg,Flat stage,1912-09-22,Charleroi
14b,1937-07-17,59.0,Bourg-Madame,Ax-les-Thermes,Stage with mountain(s),Mariano Canardo,ESP,1937,Mariano_Canardo,Mountain stage,1906-05-05,Olite-Erriberri
14c,1937-07-17,167.0,Ax-les-Thermes,Luchon,Stage with mountain(s),Eloi Meulenberg,BEL,1937,Eloi_Meulenberg,Mountain stage,1912-09-22,Charleroi
15,1937-07-19,194.0,Luchon,Pau,Stage with mountain(s),Julian Berrendero,ESP,1937,Julian_Berrendero,Mountain stage,1912-04-08,San Agustín del Guadalix
16,1937-07-21,235.0,Pau,Bordeaux,Plain stage,Paul Chocque,FRA,1937,Paul_Chocque,Flat stage,1910-07-14,Meudon
17a,1937-07-22,123.0,Bordeaux,Royan,Plain stage,Erich Bautz,GER,1937,Erich_Bautz,Flat stage,1913-05-26,Dortmund
17b,1937-07-22,37.0,Royan,Saintes,Plain stage,Adolph Braeckeveldt Heinz Wengler[n 3],"c(""BEL"", ""GER"")",1937,Adolph_Braeckeveldt Heinz_Wengler[n_3],Flat stage,,
17c,1937-07-22,67.0,Saintes,La Rochelle,Plain stage,Roger Lapébie,FRA,1937,Roger_Lapébie,Flat stage,1911-01-16,Bayonne
18a,1937-07-23,82.0,La Rochelle,La Roche-sur-Yon,Team time trial,Roger Lapébie,FRA,1937,Roger_Lapébie,Flat stage,1911-01-16,Bayonne
18b,1937-07-23,172.0,La Roche-sur-Yon,Rennes,Plain stage,Paul Chocque,FRA,1937,Paul_Chocque,Flat stage,1910-07-14,Meudon
19a,1937-07-24,114.0,Rennes,Vire,Plain stage,Raymond Passat,FRA,1937,Raymond_Passat,Flat stage,1913-12-28,Gannat
19b,1937-07-24,59.0,Vire,Caen,Individual time trial,Leo Amberg,SUI,1937,Leo_Amberg,Time trial,1912-03-23,Ballwil
20,1937-07-25,234.0,Caen,Paris,Plain stage,Edward Vissers,BEL,1937,Edward_Vissers,Flat stage,1912-07-04,Anvers
1,1936-07-07,258.0,Paris,Lille,Plain stage,Paul Egli,SUI,1936,Paul_Egli,Flat stage,1911-08-18,Dürnten
2,1936-07-08,192.0,Lille,Charleville,Plain stage,Robert Wierinckx,BEL,1936,Robert_Wierinckx,Flat stage,1915-04-12,Ixelles
3,1936-07-09,161.0,Charleville,Metz,Plain stage,Mathias Clemens,LUX,1936,Mathias_Clemens,Flat stage,1915-08-08,Redange-sur-Attert
4,1936-07-10,220.0,Metz,Belfort,Stage with mountain(s),Maurice Archambaud,FRA,1936,Maurice_Archambaud,Mountain stage,1908-08-30,14e arrondissement de Paris
5,1936-07-11,298.0,Belfort,Évian-les-Bains,Plain stage,René Le Grèves,FRA,1936,René_Le_Grèves,Flat stage,,
6,1936-07-13,212.0,Évian-les-Bains,Aix-les-Bains,Stage with mountain(s),Éloi Meulenberg,BEL,1936,Éloi_Meulenberg,Mountain stage,1912-09-22,Charleroi
7,1936-07-14,230.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Theo Middelkamp,NED,1936,Theo_Middelkamp,Mountain stage,1914-02-23,Nieuw-Namen (Pays-Bas)
8,1936-07-15,194.0,Grenoble,Briançon,Stage with mountain(s),Jean-Marie Goasmat,FRA,1936,Jean-Marie_Goasmat,Mountain stage,1913-03-28,Camors
9,1936-07-16,220.0,Briançon,Digne,Stage with mountain(s),Léon Level,FRA,1936,Léon_Level,Mountain stage,1910-07-12,Hédouville
10,1936-07-18,156.0,Digne,Nice,Plain stage,Paul Maye,FRA,1936,Paul_Maye,Flat stage,1913-08-19,Bayonne
11,1936-07-19,126.0,Nice,Cannes,Stage with mountain(s),Federico Ezquerra,ESP,1936,Federico_Ezquerra,Mountain stage,1909-03-10,Gordexola
12,1936-07-21,195.0,Cannes,Marseille,Plain stage,René Le Grevès,FRA,1936,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
13a,1936-07-22,112.0,Marseille,Nîmes,Plain stage,René Le Grevès,FRA,1936,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
13b,1936-07-22,52.0,Nîmes,Montpellier,Individual time trial,Sylvère Maes,BEL,1936,Sylvère_Maes,Time trial,1909-08-27,Gistel
14a,1936-07-23,103.0,Montpellier,Narbonne,Plain stage,René Le Grevès,FRA,1936,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
14b,1936-07-23,63.0,Narbonne,Perpignan,Individual time trial,Sylvère Maes,BEL,1936,Sylvère_Maes,Time trial,1909-08-27,Gistel
15,1936-07-25,325.0,Perpignan,Luchon,Stage with mountain(s),Sauveur Ducazeaux,FRA,1936,Sauveur_Ducazeaux,Mountain stage,1910-12-08,Biarritz
16,1936-07-27,194.0,Luchon,Pau,Stage with mountain(s),Sylvère Maes,BEL,1936,Sylvère_Maes,Mountain stage,1909-08-27,Gistel
17,1936-07-29,229.0,Pau,Bordeaux,Plain stage,René Le Grevès,FRA,1936,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
18a,1936-07-30,117.0,Bordeaux,Saintes,Plain stage,Éloi Meulenberg,BEL,1936,Éloi_Meulenberg,Flat stage,1912-09-22,Charleroi
18b,1936-07-30,75.0,Saintes,La Rochelle,Individual time trial,Sylvère Maes,BEL,1936,Sylvère_Maes,Time trial,1909-08-27,Gistel
19a,1936-07-31,81.0,La Rochelle,La Roche-sur-Yon,Plain stage,Marcel Kint,BEL,1936,Marcel_Kint,Flat stage,1914-09-20,Zwevegem
19b,1936-07-31,65.0,La Roche-sur-Yon,Cholet,Individual time trial,Félicien Vervaecke,BEL,1936,Félicien_Vervaecke,Time trial,1907-03-11,Moorslede
19c,1936-07-31,67.0,Cholet,Angers,Plain stage,Paul Maye,FRA,1936,Paul_Maye,Flat stage,1913-08-19,Bayonne
20a,1936-08-01,204.0,Angers,Vire,Plain stage,René Le Grevès,FRA,1936,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
20b,1936-08-01,55.0,Vire,Caen,Individual time trial,Antonin Magne,FRA,1936,Antonin_Magne,Time trial,1904-02-15,Ytrac
21,1936-08-02,234.0,Caen,Paris,Plain stage,Arsène Mersch,LUX,1936,Arsène_Mersch,Flat stage,1913-12-14,Koerich
1,1935-07-04,262.0,Paris,Lille,Plain stage,Romain Maes,BEL,1935,Romain_Maes,Flat stage,1912-08-10,Jabbeke
2,1935-07-05,192.0,Lille,Charleville,Plain stage,Charles Pélissier,FRA,1935,Charles_Pélissier,Flat stage,1903-02-20,16e arrondissement de Paris
3,1935-07-06,161.0,Charleville,Metz,Plain stage,Rafaele di Paco,ITA,1935,Rafaele_di_Paco,Flat stage,,
4,1935-07-07,220.0,Metz,Belfort,Stage with mountain(s),Jean Aerts,BEL,1935,Jean_Aerts,Mountain stage,1907-09-08,Laeken
5a,1935-07-08,262.0,Belfort,"Geneva, Switzerland",Plain stage,Maurice Archambaud,FRA,1935,Maurice_Archambaud,Flat stage,1908-08-30,14e arrondissement de Paris
5b,1935-07-08,58.0,Geneva,Evian,Individual time trial,Rafaele di Paco,ITA,1935,Rafaele_di_Paco,Time trial,,
6,1935-07-10,207.0,Evian,Aix-les-Bains,Stage with mountain(s),René Vietto,FRA,1935,René_Vietto,Mountain stage,1914-02-17,Le Cannet
7,1935-07-11,229.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Francesco Camusso,ITA,1935,Francesco_Camusso,Mountain stage,1908-03-09,Cumiana
8,1935-07-12,102.0,Grenoble,Gap,Stage with mountain(s),Jean Aerts,BEL,1935,Jean_Aerts,Mountain stage,1907-09-08,Laeken
9,1935-07-13,227.0,Gap,Digne,Stage with mountain(s),René Vietto,FRA,1935,René_Vietto,Mountain stage,1914-02-17,Le Cannet
10,1935-07-14,156.0,Digne,Nice,Plain stage,Jean Aerts,BEL,1935,Jean_Aerts,Flat stage,1907-09-08,Laeken
11,1935-07-16,126.0,Nice,Cannes,Stage with mountain(s),Romain Maes,BEL,1935,Romain_Maes,Mountain stage,1912-08-10,Jabbeke
12,1935-07-17,195.0,Cannes,Marseille,Plain stage,Charles Pélissier,FRA,1935,Charles_Pélissier,Flat stage,1903-02-20,16e arrondissement de Paris
13a,1935-07-18,112.0,Marseille,Nîmes,Plain stage,Vasco Bergamaschi,ITA,1935,Vasco_Bergamaschi,Flat stage,1909-09-29,San Giacomo delle Segnate
13b,1935-07-18,56.0,Nîmes,Montpellier,Individual time trial,Georges Speicher,FRA,1935,Georges_Speicher,Time trial,1907-06-08,20e arrondissement de Paris
14a,1935-07-19,103.0,Montpellier,Narbonne,Plain stage,René Le Grevès,FRA,1935,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
14b,1935-07-19,63.0,Narbonne,Perpignan,Individual time trial,Maurice Archambaud,FRA,1935,Maurice_Archambaud,Time trial,1908-08-30,14e arrondissement de Paris
15,1935-07-20,325.0,Perpignan,Luchon,Stage with mountain(s),Sylvère Maes,BEL,1935,Sylvère_Maes,Mountain stage,1909-08-27,Gistel
16,1935-07-22,194.0,Luchon,Pau,Stage with mountain(s),Ambrogio Morelli,ITA,1935,Ambrogio_Morelli,Mountain stage,1905-12-04,Nerviano
17,1935-07-24,224.0,Pau,Bordeaux,Plain stage,Julien Moineau,FRA,1935,Julien_Moineau,Flat stage,1903-11-27,Clichy
18a,1935-07-25,158.0,Bordeaux,Rochefort,Plain stage,René Le Grevès,FRA,1935,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
18b,1935-07-25,33.0,Rochefort,La Rochelle,Individual time trial,André Leducq,FRA,1935,André_Leducq,Time trial,1904-02-27,Saint-Ouen-sur-Seine
19a,1935-07-26,81.0,La Rochelle,La Roche sur Yon,Plain stage,René Le Grevès,FRA,1935,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
19b,1935-07-26,95.0,La Roche sur Yon,Nantes,Individual time trial,Jean Aerts,BEL,1935,Jean_Aerts,Time trial,1907-09-08,Laeken
20a,1935-07-27,220.0,Nantes,Vire,Plain stage,René Le Grevès,FRA,1935,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
20b,1935-07-27,55.0,Vire,Caen,Individual time trial,Ambrogio Morelli,ITA,1935,Ambrogio_Morelli,Time trial,1905-12-04,Nerviano
21,1935-07-28,221.0,Caen,Paris,Plain stage,Romain Maes,BEL,1935,Romain_Maes,Flat stage,1912-08-10,Jabbeke
1,1934-07-03,262.0,Paris,Lille,Plain stage,Georges Speicher,FRA,1934,Georges_Speicher,Flat stage,1907-06-08,20e arrondissement de Paris
2,1934-07-04,192.0,Lille,Charleville,Plain stage,René Le Grevès,FRA,1934,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
3,1934-07-05,161.0,Charleville,Metz,Plain stage,Roger Lapébie,FRA,1934,Roger_Lapébie,Flat stage,1911-01-16,Bayonne
4,1934-07-06,220.0,Metz,Belfort,Stage with mountain(s),Roger Lapébie,FRA,1934,Roger_Lapébie,Mountain stage,1911-01-16,Bayonne
5,1934-07-07,293.0,Belfort,Evian,Plain stage,René Le Grevès  Georges Speicher[n 2],"c(""FRA"", ""FRA"")",1934,René_Le_Grevès_ Georges_Speicher[n_2],Flat stage,,
6,1934-07-09,207.0,Evian,Aix-les-Bains,Stage with mountain(s),Georges Speicher,FRA,1934,Georges_Speicher,Mountain stage,1907-06-08,20e arrondissement de Paris
7,1934-07-10,229.0,Aix-les-Bains,Grenoble,Stage with mountain(s),René Vietto,FRA,1934,René_Vietto,Mountain stage,1914-02-17,Le Cannet
8,1934-07-11,102.0,Grenoble,Gap,Stage with mountain(s),Giuseppe Martano,ITA,1934,Giuseppe_Martano,Mountain stage,1910-10-10,Savone
9,1934-07-12,227.0,Gap,Digne,Stage with mountain(s),René Vietto,FRA,1934,René_Vietto,Mountain stage,1914-02-17,Le Cannet
10,1934-07-13,156.0,Digne,Nice,Plain stage,René Le Grevès,FRA,1934,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
11,1934-07-15,126.0,Nice,Cannes,Stage with mountain(s),René Vietto,FRA,1934,René_Vietto,Mountain stage,1914-02-17,Le Cannet
12,1934-07-16,195.0,Cannes,Marseille,Plain stage,Roger Lapébie,FRA,1934,Roger_Lapébie,Flat stage,1911-01-16,Bayonne
13,1934-07-17,172.0,Marseille,Montpellier,Plain stage,Georges Speicher,FRA,1934,Georges_Speicher,Flat stage,1907-06-08,20e arrondissement de Paris
14,1934-07-18,177.0,Montpellier,Perpignan,Plain stage,Roger Lapébie,FRA,1934,Roger_Lapébie,Flat stage,1911-01-16,Bayonne
15,1934-07-20,158.0,Perpignan,Ax-les-Thermes,Plain stage,Roger Lapébie,FRA,1934,Roger_Lapébie,Flat stage,1911-01-16,Bayonne
16,1934-07-21,165.0,Ax-les-Thermes,Luchon,Stage with mountain(s),Adriano Vignoli,ITA,1934,Adriano_Vignoli,Mountain stage,1907-12-11,Sasso Marconi
17,1934-07-22,91.0,Luchon,Tarbes,Stage with mountain(s),Antonin Magne,FRA,1934,Antonin_Magne,Mountain stage,1904-02-15,Ytrac
18,1934-07-23,172.0,Tarbes,Pau,Stage with mountain(s),René Vietto,FRA,1934,René_Vietto,Mountain stage,1914-02-17,Le Cannet
19,1934-07-25,215.0,Pau,Bordeaux,Plain stage,Ettore Meini,ITA,1934,Ettore_Meini,Flat stage,1903-01-05,Cascina
20,1934-07-26,183.0,Bordeaux,La Rochelle,Plain stage,Georges Speicher,FRA,1934,Georges_Speicher,Flat stage,1907-06-08,20e arrondissement de Paris
21a,1934-07-27,81.0,La Rochelle,La Roche sur Yon,Plain stage,René Le Grevès,FRA,1934,René_Le_Grevès,Flat stage,1910-06-06,14e arrondissement de Paris
21b,1934-07-27,90.0,La Roche sur Yon,Nantes,Individual time trial,Antonin Magne,FRA,1934,Antonin_Magne,Time trial,1904-02-15,Ytrac
22,1934-07-28,275.0,Nantes,Caen,Plain stage,Raymond Louviot,FRA,1934,Raymond_Louviot,Flat stage,1908-12-17,Granges
23,1934-07-29,221.0,Caen,Paris,Plain stage,Sylvère Maes,BEL,1934,Sylvère_Maes,Flat stage,1909-08-27,Gistel
1,1933-06-27,262.0,Paris,Lille,Plain stage,Maurice Archambaud,FRA,1933,Maurice_Archambaud,Flat stage,1908-08-30,14e arrondissement de Paris
2,1933-06-28,192.0,Lille,Charleville,Plain stage,Learco Guerra,ITA,1933,Learco_Guerra,Flat stage,1902-10-14,Bagnolo San Vito
3,1933-06-29,166.0,Charleville,Metz,Plain stage,Alfons Schepers,BEL,1933,Alfons_Schepers,Flat stage,1907-08-27,Linter
4,1933-06-30,220.0,Metz,Belfort,Stage with mountain(s),Jean Aerts,BEL,1933,Jean_Aerts,Mountain stage,1907-09-08,Laeken
5,1933-07-01,293.0,Belfort,Evian,Stage with mountain(s),Léon Louyet,BEL,1933,Léon_Louyet,Mountain stage,1906-07-07,Loos-en-Gohelle
6,1933-07-03,207.0,Evian,Aix-les-Bains,Stage with mountain(s),Learco Guerra,ITA,1933,Learco_Guerra,Mountain stage,1902-10-14,Bagnolo San Vito
7,1933-07-04,229.0,Aix-les-Bains,Grenoble,Stage with mountain(s),Learco Guerra,ITA,1933,Learco_Guerra,Mountain stage,1902-10-14,Bagnolo San Vito
8,1933-07-05,102.0,Grenoble,Gap,Stage with mountain(s),Georges Speicher,FRA,1933,Georges_Speicher,Mountain stage,1907-06-08,20e arrondissement de Paris
9,1933-07-06,227.0,Gap,Digne,Stage with mountain(s),Georges Speicher,FRA,1933,Georges_Speicher,Mountain stage,1907-06-08,20e arrondissement de Paris
10,1933-07-07,156.0,Digne,Nice,Plain stage,Fernand Cornez,FRA,1933,Fernand_Cornez,Flat stage,1907-11-19,15e arrondissement de Paris
11,1933-07-09,128.0,Nice,Cannes,Stage with mountain(s),Maurice Archambaud,FRA,1933,Maurice_Archambaud,Mountain stage,1908-08-30,14e arrondissement de Paris
12,1933-07-10,208.0,Cannes,Marseille,Plain stage,Georges Speicher,FRA,1933,Georges_Speicher,Flat stage,1907-06-08,20e arrondissement de Paris
13,1933-07-11,168.0,Marseille,Montpellier,Plain stage,André Leducq,FRA,1933,André_Leducq,Flat stage,1904-02-27,Saint-Ouen-sur-Seine
14,1933-07-12,166.0,Montpellier,Perpignan,Plain stage,André Leducq,FRA,1933,André_Leducq,Flat stage,1904-02-27,Saint-Ouen-sur-Seine
15,1933-07-14,158.0,Perpignan,Ax-les-Thermes,Stage with mountain(s),Jean Aerts,BEL,1933,Jean_Aerts,Mountain stage,1907-09-08,Laeken
16,1933-07-15,165.0,Ax-les-Thermes,Luchon,Stage with mountain(s),Léon Louyet,BEL,1933,Léon_Louyet,Mountain stage,1906-07-07,Loos-en-Gohelle
17,1933-07-16,91.0,Luchon,Tarbes,Stage with mountain(s),Jean Aerts,BEL,1933,Jean_Aerts,Mountain stage,1907-09-08,Laeken
18,1933-07-17,185.0,Tarbes,Pau,Stage with mountain(s),Learco Guerra,ITA,1933,Learco_Guerra,Mountain stage,1902-10-14,Bagnolo San Vito
19,1933-07-19,233.0,Pau,Bordeaux,Plain stage,Jean Aerts,BEL,1933,Jean_Aerts,Flat stage,1907-09-08,Laeken
20,1933-07-20,183.0,Bordeaux,La Rochelle,Plain stage,Jean Aerts,BEL,1933,Jean_Aerts,Flat stage,1907-09-08,Laeken
21,1933-07-21,266.0,La Rochelle,Rennes,Plain stage,Jean Aerts,BEL,1933,Jean_Aerts,Flat stage,1907-09-08,Laeken
