Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
2,1972-07-03,206.5,Saint-Brieuc,La Baule,Plain stage,Rik Van Linden,BEL,1972,Rik_Van_Linden,Flat stage,1949-07-28,Wilrijk
3a,1972-07-04,161.0,Pornichet,Saint-Jean-de-Monts,Plain stage,Ercole Gualazzini,ITA,1972,Ercole_Gualazzini,Flat stage,1944-06-22,San Secondo Parmense
3b,1972-07-04,16.2,Merlin-Plage,Merlin-Plage,Team time trial,Molteni,,1972,Molteni,Flat stage,,
4,1972-07-05,236.0,Merlin-Plage,Royan,Plain stage,Cyrille Guimard,FRA,1972,Cyrille_Guimard,Flat stage,1947-01-20,Bouguenais
5a,1972-07-06,133.5,Royan,Bordeaux,Plain stage,Walter Godefroot,BEL,1972,Walter_Godefroot,Flat stage,1943-07-02,Gand
5b,1972-07-06,12.7,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL,1972,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
6,1972-07-07,205.0,Bordeaux,Bayonne,Plain stage,Leo Duyndam,NED,1972,Leo_Duyndam,Flat stage,1948-01-02,Poeldijk
7,1972-07-09,220.5,Bayonne,Pau,Stage with mountain(s),Yves Hézard,FRA,1972,Yves_Hézard,Mountain stage,1948-10-20,Donzy
8,1972-07-10,163.5,Pau,Luchon,Stage with mountain(s),Eddy Merckx,BEL,1972,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
9,1972-07-11,179.0,Luchon,Colomiers,Hilly stage,Jos Huysmans,BEL,1972,Jos_Huysmans,,1941-12-18,Beerzel
10,1972-07-12,210.0,Castres,La Grande-Motte,Plain stage,Willy Teirlinck,BEL,1972,Willy_Teirlinck,Flat stage,1948-08-10,Affligem
11,1972-07-13,207.0,Carnon-Plage,Mont Ventoux,Stage with mountain(s),Bernard Thévenet,FRA,1972,Bernard_Thévenet,Mountain stage,1948-01-10,Saint-Julien-de-Civry
12,1972-07-14,192.0,Carpentras,Orcières,Stage with mountain(s),Lucien Van Impe,BEL,1972,Lucien_Van_Impe,Mountain stage,1946-10-20,Erpe-Mere
13,1972-07-16,201.0,Orcières,Briançon,Stage with mountain(s),Eddy Merckx,BEL,1972,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
14a,1972-07-17,51.0,Briançon,Valloire,Stage with mountain(s),Eddy Merckx,BEL,1972,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
14b,1972-07-17,151.0,Valloire,Aix-les-Bains,Stage with mountain(s),Cyrille Guimard,FRA,1972,Cyrille_Guimard,Mountain stage,1947-01-20,Bouguenais
15,1972-07-18,28.0,Aix-les-Bains,Le Revard,Stage with mountain(s),Cyrille Guimard,FRA,1972,Cyrille_Guimard,Mountain stage,1947-01-20,Bouguenais
16,1972-07-19,198.5,Aix-les-Bains,Pontarlier,Hilly stage,Willy Teirlinck,BEL,1972,Willy_Teirlinck,,1948-08-10,Affligem
17,1972-07-20,213.0,Pontarlier,Ballon d’Alsace,Hilly stage,Bernard Thévenet,FRA,1972,Bernard_Thévenet,,1948-01-10,Saint-Julien-de-Civry
18,1972-07-21,257.5,Vesoul,Auxerre,Plain stage,Marinus Wagtmans,NED,1972,Marinus_Wagtmans,Flat stage,1946-12-26,Rucphen
19,1972-07-22,230.0,Auxerre,Versailles,Plain stage,Joseph Bruyère,BEL,1972,Joseph_Bruyère,Flat stage,1948-10-05,Maastricht
20a,1972-07-23,42.0,Versailles,Versailles,Individual time trial,Eddy Merckx,BEL,1972,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
20b,1972-07-23,89.0,Versailles,Paris,Plain stage,Willy Teirlinck,BEL,1972,Willy_Teirlinck,Flat stage,1948-08-10,Affligem
P,1971-06-26,11.0,Mulhouse,Mulhouse,Team time trial,Molteni,,1971,Molteni,Flat stage,,
1a,1971-06-27,59.5,Mulhouse,Basel,Stage with mountain(s),Eric Leman,BEL,1971,Eric_Leman,Mountain stage,1946-07-17,Ledeghem
1b,1971-06-27,90.0,Basel,Freiburg,Plain stage,Gerben Karstens,NED,1971,Gerben_Karstens,Flat stage,1942-01-14,Voorburg
1c,1971-06-27,74.5,Freiburg,Mulhouse,Plain stage,Albert Van Vlierberghe,BEL,1971,Albert_Van_Vlierberghe,Flat stage,1942-03-18,Belsele
2,1971-06-28,144.0,Mulhouse,Strasbourg,Stage with mountain(s),Eddy Merckx,BEL,1971,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
3,1971-06-29,165.5,Strasbourg,Nancy,Stage with mountain(s),Rini Wagtmans,NED,1971,Rini_Wagtmans,Mountain stage,1946-12-26,Rucphen
4,1971-06-30,242.0,Nancy,Marche-en-Famenne,Plain stage,Jean-Pierre Genet,FRA,1971,Jean-Pierre_Genet,Flat stage,1962-10-15,Châtellerault
5,1971-07-01,208.5,Dinant,Roubaix,Stage with mountain(s),Pietro Guerra,ITA,1971,Pietro_Guerra,Mountain stage,1943-06-28,San Pietro di Morubio
6a,1971-07-02,127.5,Roubaix,Amiens,Plain stage,Eric Leman,BEL,1971,Eric_Leman,Flat stage,1946-07-17,Ledeghem
6b,1971-07-02,133.5,Amiens,Le Touquet,Plain stage,Mauro Simonetti,ITA,1971,Mauro_Simonetti,Flat stage,1948-07-14,Livourne
7,1971-07-04,257.5,Rungis,Nevers,Plain stage,Eric Leman,BEL,1971,Eric_Leman,Flat stage,1946-07-17,Ledeghem
8,1971-07-05,221.0,Nevers,Puy de Dôme,Stage with mountain(s),Luis Ocaña,ESP,1971,Luis_Ocaña,Mountain stage,1945-06-09,Priego
