Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city,dist_from_origin,dist_from_destination
6,1912-07-10,323.0,Grenoble,Nice,Stage with mountain(s),Octave Lapize,FRA,1912,Octave_Lapize,Mountain stage,1887-10-24,14e arrondissement de Paris,480.96336634083855,685.6258575964001
11,1912-07-20,379.0,Bayonne,La Rochelle,Plain stage,Jean Alavoine,FRA,1912,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,874.2026709321207,596.8690246912923
13,1912-07-24,405.0,Brest,Cherbourg,Plain stage,Jean Alavoine,FRA,1912,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,610.2406857792569,362.1150612906621
15,1912-07-28,317.0,Le Havre,Paris,Plain stage,Jean Alavoine,FRA,1912,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,256.656371994948,212.91940562986298
1,1911-07-02,351.0,Paris,Dunkerque,Plain stage,Gustave Garrigou,FRA,1911,Gustave_Garrigou,Flat stage,1884-09-24,Vabre-Tizac,510.2066483972138,752.251716870336
4,1911-07-08,344.0,Belfort,Chamonix,Stage with mountain(s),Charles Crupelandt,FRA,1911,Charles_Crupelandt,Mountain stage,1886-10-23,Roubaix,433.12919355934474,596.672516862511
5,1911-07-10,366.0,Chamonix,Grenoble,Stage with mountain(s),Émile Georget,FRA,1911,Émile_Georget,Mountain stage,1881-11-21,Bossay-sur-Claise,465.3481805752529,412.0561900070585
7,1911-07-14,334.0,Nice,Marseille,Stage with mountain(s),Charles Crupelandt,FRA,1911,Charles_Crupelandt,Mountain stage,1886-10-23,Roubaix,836.4845657572102,838.8426095106394
8,1911-07-16,335.0,Marseille,Perpignan,Plain stage,Paul Duboc,FRA,1911,Paul_Duboc,Flat stage,1884-04-02,Rouen,757.7993107045032,762.1688553481274
9,1911-07-18,289.0,Perpignan,Luchon,Stage with mountain(s),Paul Duboc,FRA,1911,Paul_Duboc,Mountain stage,1884-04-02,Rouen,762.1688553481274,740.1201922855995
10,1911-07-20,326.0,Luchon,Bayonne,Stage with mountain(s),Maurice Brocco[n 2],FRA,1911,Maurice_Brocco[n_2],Mountain stage,,,,
